index,key,dataset,method,model,trainer,train_size,fold,seed,status
0,13Wucl2ZC,dod_h,BatchNorm,usleep,usleep,4,0,42,pending
1,13Wucl2ZC,dod_h,BatchNorm,usleep,usleep,4,1,42,pending
2,13Wucl2ZC,dod_h,BatchNorm,usleep,usleep,4,2,42,pending
3,13Wucl2ZC,dod_h,BatchNorm,usleep,usleep,4,3,42,pending
4,13Wucl2ZC,dod_h,BatchNorm,usleep,usleep,4,4,42,pending
5,jzbfzSvF,dod_h,BatchNorm,usleep,usleep,8,0,42,pending
6,jzbfzSvF,dod_h,BatchNorm,usleep,usleep,8,1,42,pending
7,jzbfzSvF,dod_h,BatchNorm,usleep,usleep,8,2,42,pending
8,jzbfzSvF,dod_h,BatchNorm,usleep,usleep,8,3,42,pending
9,jzbfzSvF,dod_h,BatchNorm,usleep,usleep,8,4,42,pending
10,OQ9R21ND,dod_h,BatchNorm,usleep,usleep,,0,42,pending
11,OQ9R21ND,dod_h,BatchNorm,usleep,usleep,,1,42,pending
12,OQ9R21ND,dod_h,BatchNorm,usleep,usleep,,2,42,pending
13,OQ9R21ND,dod_h,BatchNorm,usleep,usleep,,3,42,pending
14,OQ9R21ND,dod_h,BatchNorm,usleep,usleep,,4,42,pending
15,ROkb4gyB,dod_h,BitFit,usleep,usleep,4,0,42,pending
16,ROkb4gyB,dod_h,BitFit,usleep,usleep,4,1,42,pending
17,ROkb4gyB,dod_h,BitFit,usleep,usleep,4,2,42,pending
18,ROkb4gyB,dod_h,BitFit,usleep,usleep,4,3,42,pending
19,ROkb4gyB,dod_h,BitFit,usleep,usleep,4,4,42,pending
20,rRPAGvty,dod_h,BitFit,usleep,usleep,8,0,42,pending
21,rRPAGvty,dod_h,BitFit,usleep,usleep,8,1,42,pending
22,rRPAGvty,dod_h,BitFit,usleep,usleep,8,2,42,pending
23,rRPAGvty,dod_h,BitFit,usleep,usleep,8,3,42,pending
24,rRPAGvty,dod_h,BitFit,usleep,usleep,8,4,42,pending
25,1dnhNOHmH,dod_h,BitFit,usleep,usleep,,0,42,pending
26,1dnhNOHmH,dod_h,BitFit,usleep,usleep,,1,42,pending
27,1dnhNOHmH,dod_h,BitFit,usleep,usleep,,2,42,pending
28,1dnhNOHmH,dod_h,BitFit,usleep,usleep,,3,42,pending
29,1dnhNOHmH,dod_h,BitFit,usleep,usleep,,4,42,pending
30,e0kKJm4D,dod_h,Fish10,usleep,usleep,4,0,42,pending
31,e0kKJm4D,dod_h,Fish10,usleep,usleep,4,1,42,pending
32,e0kKJm4D,dod_h,Fish10,usleep,usleep,4,2,42,pending
33,e0kKJm4D,dod_h,Fish10,usleep,usleep,4,3,42,pending
34,e0kKJm4D,dod_h,Fish10,usleep,usleep,4,4,42,pending
35,L9vjGCzN,dod_h,Fish10,usleep,usleep,8,0,42,pending
36,L9vjGCzN,dod_h,Fish10,usleep,usleep,8,1,42,pending
37,L9vjGCzN,dod_h,Fish10,usleep,usleep,8,2,42,pending
38,L9vjGCzN,dod_h,Fish10,usleep,usleep,8,3,42,pending
39,L9vjGCzN,dod_h,Fish10,usleep,usleep,8,4,42,pending
40,dI8m2ZP8,dod_h,Fish10,usleep,usleep,,0,42,pending
41,dI8m2ZP8,dod_h,Fish10,usleep,usleep,,1,42,pending
42,dI8m2ZP8,dod_h,Fish10,usleep,usleep,,2,42,pending
43,dI8m2ZP8,dod_h,Fish10,usleep,usleep,,3,42,pending
44,dI8m2ZP8,dod_h,Fish10,usleep,usleep,,4,42,pending
45,ZmpjI7OP,dod_h,Fish20,usleep,usleep,4,0,42,pending
46,ZmpjI7OP,dod_h,Fish20,usleep,usleep,4,1,42,pending
47,ZmpjI7OP,dod_h,Fish20,usleep,usleep,4,2,42,pending
48,ZmpjI7OP,dod_h,Fish20,usleep,usleep,4,3,42,pending
49,ZmpjI7OP,dod_h,Fish20,usleep,usleep,4,4,42,pending
50,19QObgmmZ,dod_h,Fish20,usleep,usleep,8,0,42,pending
51,19QObgmmZ,dod_h,Fish20,usleep,usleep,8,1,42,pending
52,19QObgmmZ,dod_h,Fish20,usleep,usleep,8,2,42,pending
53,19QObgmmZ,dod_h,Fish20,usleep,usleep,8,3,42,pending
54,19QObgmmZ,dod_h,Fish20,usleep,usleep,8,4,42,pending
55,2dWom8OQ,dod_h,Fish20,usleep,usleep,,0,42,pending
56,2dWom8OQ,dod_h,Fish20,usleep,usleep,,1,42,pending
57,2dWom8OQ,dod_h,Fish20,usleep,usleep,,2,42,pending
58,2dWom8OQ,dod_h,Fish20,usleep,usleep,,3,42,pending
59,2dWom8OQ,dod_h,Fish20,usleep,usleep,,4,42,pending
60,ZaVeQwhl,dod_h,Fish50,usleep,usleep,4,0,42,pending
61,ZaVeQwhl,dod_h,Fish50,usleep,usleep,4,1,42,pending
62,ZaVeQwhl,dod_h,Fish50,usleep,usleep,4,2,42,pending
63,ZaVeQwhl,dod_h,Fish50,usleep,usleep,4,3,42,pending
64,ZaVeQwhl,dod_h,Fish50,usleep,usleep,4,4,42,pending
65,1f3KZQun5,dod_h,Fish50,usleep,usleep,8,0,42,pending
66,1f3KZQun5,dod_h,Fish50,usleep,usleep,8,1,42,pending
67,1f3KZQun5,dod_h,Fish50,usleep,usleep,8,2,42,pending
68,1f3KZQun5,dod_h,Fish50,usleep,usleep,8,3,42,pending
69,1f3KZQun5,dod_h,Fish50,usleep,usleep,8,4,42,pending
70,1b4RdtruW,dod_h,Fish50,usleep,usleep,,0,42,pending
71,1b4RdtruW,dod_h,Fish50,usleep,usleep,,1,42,pending
72,1b4RdtruW,dod_h,Fish50,usleep,usleep,,2,42,pending
73,1b4RdtruW,dod_h,Fish50,usleep,usleep,,3,42,pending
74,1b4RdtruW,dod_h,Fish50,usleep,usleep,,4,42,pending
75,SzlzDI9G,dod_h,Full,usleep,usleep,4,0,42,pending
76,SzlzDI9G,dod_h,Full,usleep,usleep,4,1,42,pending
77,SzlzDI9G,dod_h,Full,usleep,usleep,4,2,42,pending
78,SzlzDI9G,dod_h,Full,usleep,usleep,4,3,42,pending
79,SzlzDI9G,dod_h,Full,usleep,usleep,4,4,42,pending
80,1444k4uS2,dod_h,Full,usleep,usleep,8,0,42,pending
81,1444k4uS2,dod_h,Full,usleep,usleep,8,1,42,pending
82,1444k4uS2,dod_h,Full,usleep,usleep,8,2,42,pending
83,1444k4uS2,dod_h,Full,usleep,usleep,8,3,42,pending
84,1444k4uS2,dod_h,Full,usleep,usleep,8,4,42,pending
85,hoLo1pte,dod_h,Full,usleep,usleep,,0,42,pending
86,hoLo1pte,dod_h,Full,usleep,usleep,,1,42,pending
87,hoLo1pte,dod_h,Full,usleep,usleep,,2,42,pending
88,hoLo1pte,dod_h,Full,usleep,usleep,,3,42,pending
89,hoLo1pte,dod_h,Full,usleep,usleep,,4,42,pending
90,ZbUQ0Vxd,dod_h,LoRA10,usleep,usleep,4,0,42,pending
91,ZbUQ0Vxd,dod_h,LoRA10,usleep,usleep,4,1,42,pending
92,ZbUQ0Vxd,dod_h,LoRA10,usleep,usleep,4,2,42,pending
93,ZbUQ0Vxd,dod_h,LoRA10,usleep,usleep,4,3,42,pending
94,ZbUQ0Vxd,dod_h,LoRA10,usleep,usleep,4,4,42,pending
95,usiCsGZP,dod_h,LoRA10,usleep,usleep,8,0,42,pending
96,usiCsGZP,dod_h,LoRA10,usleep,usleep,8,1,42,pending
97,usiCsGZP,dod_h,LoRA10,usleep,usleep,8,2,42,pending
98,usiCsGZP,dod_h,LoRA10,usleep,usleep,8,3,42,pending
99,usiCsGZP,dod_h,LoRA10,usleep,usleep,8,4,42,pending
100,oTKgVPy7,dod_h,LoRA10,usleep,usleep,,0,42,pending
101,oTKgVPy7,dod_h,LoRA10,usleep,usleep,,1,42,pending
102,oTKgVPy7,dod_h,LoRA10,usleep,usleep,,2,42,pending
103,oTKgVPy7,dod_h,LoRA10,usleep,usleep,,3,42,pending
104,oTKgVPy7,dod_h,LoRA10,usleep,usleep,,4,42,pending
105,1d5ztPPkS,dod_h,LoRA20,usleep,usleep,4,0,42,pending
106,1d5ztPPkS,dod_h,LoRA20,usleep,usleep,4,1,42,pending
107,1d5ztPPkS,dod_h,LoRA20,usleep,usleep,4,2,42,pending
108,1d5ztPPkS,dod_h,LoRA20,usleep,usleep,4,3,42,pending
109,1d5ztPPkS,dod_h,LoRA20,usleep,usleep,4,4,42,pending
110,vyJftBia,dod_h,LoRA20,usleep,usleep,8,0,42,pending
111,vyJftBia,dod_h,LoRA20,usleep,usleep,8,1,42,pending
