index,key,dataset,method,model,trainer,train_size,fold,seed,status
0,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,0,42,done
1,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,1,42,done
2,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,2,42,done
3,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,3,42,done
4,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,4,42,done
5,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,5,42,done
6,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,6,42,done
7,eBvKNE6a,dod_o,BatchNorm,usleep,usleep,4,7,42,done
8,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,0,42,done
9,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,1,42,done
10,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,2,42,done
11,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,3,42,done
12,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,4,42,done
13,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,5,42,done
14,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,6,42,done
15,yUJt3BXj,dod_o,BatchNorm,usleep,usleep,8,7,42,done
16,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,0,42,done
17,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,1,42,done
18,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,2,42,done
19,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,3,42,done
20,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,4,42,done
21,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,5,42,done
22,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,6,42,done
23,17sz87JBc,dod_o,BatchNorm,usleep,usleep,16,7,42,done
24,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,0,42,done
25,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,1,42,done
26,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,2,42,done
27,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,3,42,done
28,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,4,42,done
29,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,5,42,done
30,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,6,42,done
31,16YVldGMO,dod_o,BatchNorm,usleep,usleep,32,7,42,done
32,5ViLgjfv,dod_o,BatchNorm,usleep,usleep,,0,42,done
33,5ViLgjfv,dod_o,BatchNorm,usleep,usleep,,1,42,done
34,5ViLgjfv,dod_o,BatchNorm,usleep,usleep,,2,42,done
