index,key,dataset,method,model,trainer,train_size,fold,seed,status
0,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,0,42,done
1,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,1,42,done
2,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,2,42,done
3,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,3,42,done
4,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,4,42,done
5,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,5,42,done
6,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,6,42,done
7,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,7,42,done
8,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,8,42,done
9,ZU6owgNp,isruc_sg3,BatchNorm,usleep,usleep,4,9,42,done
10,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,0,42,done
11,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,1,42,done
12,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,2,42,done
13,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,3,42,done
14,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,4,42,done
15,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,5,42,done
16,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,6,42,done
17,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,7,42,done
18,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,8,42,done
19,15L1BjVv0,isruc_sg3,BatchNorm,usleep,usleep,,9,42,done
20,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,0,42,done
21,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,1,42,done
22,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,2,42,done
23,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,3,42,done
24,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,4,42,done
25,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,5,42,done
26,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,6,42,done
27,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,7,42,done
28,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,8,42,done
29,Hvf2tbCK,isruc_sg3,BitFit,usleep,usleep,4,9,42,done
30,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,0,42,done
31,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,1,42,done
32,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,2,42,done
33,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,3,42,done
34,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,4,42,done
35,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,5,42,done
36,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,6,42,done
37,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,7,42,done
38,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,8,42,done
39,NqrXNVkN,isruc_sg3,BitFit,usleep,usleep,,9,42,done
40,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,0,42,pending
41,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,1,42,done
42,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,2,42,done
43,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,3,42,done
44,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,4,42,done
45,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,5,42,done
46,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,6,42,done
47,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,7,42,done
48,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,8,42,done
49,mzX65Cge,isruc_sg3,Fish10,usleep,usleep,4,9,42,done
50,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,0,42,done
51,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,1,42,done
52,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,2,42,done
53,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,3,42,done
54,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,4,42,done
55,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,5,42,done
56,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,6,42,done
57,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,7,42,done
58,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,8,42,done
59,hmoVI67w,isruc_sg3,Fish10,usleep,usleep,,9,42,done
60,16Ta76Gyf,isruc_sg3,Fish20,usleep,usleep,4,0,42,done
61,16Ta76Gyf,isruc_sg3,Fish20,usleep,usleep,4,1,42,done
62,16Ta76Gyf,isruc_sg3,Fish20,usleep,usleep,4,2,42,done
63,16Ta76Gyf,isruc_sg3,Fish20,usleep,usleep,4,3,42,done
64,16Ta76Gyf,isruc_sg3,Fish20,usleep,usleep,4,4,42,pending
65,16Ta76Gyf,isruc_sg3,Fish20,usleep,usleep,4,5,42,done
