index,key,dataset,method,model,trainer,train_size,fold,seed,status
0,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,0,42,pending
1,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,1,42,pending
2,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,2,42,pending
3,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,3,42,pending
4,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,4,42,pending
5,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,5,42,pending
6,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,6,42,pending
7,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,7,42,pending
8,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,8,42,pending
9,E7bf4NOK,mass_c3,BatchNorm,usleep,usleep,4,9,42,pending
10,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,0,42,pending
11,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,1,42,pending
12,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,2,42,pending
13,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,3,42,pending
14,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,4,42,pending
15,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,5,42,pending
16,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,6,42,pending
17,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,7,42,pending
18,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,8,42,pending
19,ArgevoXc,mass_c3,BatchNorm,usleep,usleep,8,9,42,pending
20,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,0,42,pending
21,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,1,42,pending
22,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,2,42,pending
23,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,3,42,pending
24,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,4,42,pending
25,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,5,42,pending
26,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,6,42,pending
27,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,7,42,pending
28,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,8,42,pending
29,1fAUVPQat,mass_c3,BatchNorm,usleep,usleep,16,9,42,pending
30,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,0,42,pending
31,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,1,42,pending
32,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,2,42,pending
33,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,3,42,pending
34,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,4,42,pending
35,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,5,42,pending
36,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,6,42,pending
37,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,7,42,pending
38,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,8,42,pending
39,8BocEB6E,mass_c3,BatchNorm,usleep,usleep,32,9,42,pending
40,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,0,42,pending
41,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,1,42,pending
42,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,2,42,pending
43,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,3,42,pending
44,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,4,42,pending
45,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,5,42,pending
46,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,6,42,pending
47,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,7,42,pending
48,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,8,42,pending
49,XtEy0N2z,mass_c3,BatchNorm,usleep,usleep,,9,42,pending
50,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,0,42,pending
51,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,1,42,pending
52,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,2,42,pending
53,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,3,42,pending
54,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,4,42,pending
55,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,5,42,pending
56,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,6,42,pending
57,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,7,42,pending
58,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,8,42,pending
59,bCmRBdSI,mass_c3,BitFit,usleep,usleep,4,9,42,pending
60,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,0,42,pending
61,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,1,42,pending
62,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,2,42,pending
63,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,3,42,pending
64,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,4,42,pending
65,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,5,42,pending
66,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,6,42,pending
67,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,7,42,pending
68,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,8,42,pending
69,RkufxfVV,mass_c3,BitFit,usleep,usleep,8,9,42,pending
70,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,0,42,pending
71,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,1,42,pending
72,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,2,42,pending
73,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,3,42,pending
74,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,4,42,pending
75,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,5,42,pending
76,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,6,42,pending
77,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,7,42,pending
78,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,8,42,pending
79,15qHdSVTr,mass_c3,BitFit,usleep,usleep,16,9,42,pending
80,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,0,42,pending
81,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,1,42,pending
82,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,2,42,pending
83,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,3,42,pending
84,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,4,42,pending
85,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,5,42,pending
86,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,6,42,pending
87,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,7,42,pending
88,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,8,42,pending
89,ubUWi2bq,mass_c3,BitFit,usleep,usleep,32,9,42,pending
90,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,0,42,pending
91,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,1,42,pending
92,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,2,42,pending
93,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,3,42,pending
94,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,4,42,pending
95,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,5,42,pending
96,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,6,42,pending
97,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,7,42,pending
98,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,8,42,pending
99,ywQznN6Z,mass_c3,BitFit,usleep,usleep,,9,42,pending
100,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,0,42,pending
101,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,1,42,pending
102,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,2,42,pending
103,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,3,42,pending
104,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,4,42,pending
105,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,5,42,pending
106,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,6,42,pending
107,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,7,42,pending
108,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,8,42,pending
109,pJQUlIQt,mass_c3,Fish10,usleep,usleep,4,9,42,pending
110,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,0,42,pending
111,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,1,42,pending
112,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,2,42,pending
113,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,3,42,pending
114,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,4,42,pending
115,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,5,42,pending
116,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,6,42,pending
117,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,7,42,pending
118,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,8,42,pending
119,14elzDY4j,mass_c3,Fish10,usleep,usleep,8,9,42,pending
