index,key,dataset,method,model,trainer,train_size,fold,seed,status
0,pl0bhoba,svuh,BatchNorm,usleep,usleep,4,0,42,done
1,pl0bhoba,svuh,BatchNorm,usleep,usleep,4,1,42,done
2,pl0bhoba,svuh,BatchNorm,usleep,usleep,4,2,42,done
3,pl0bhoba,svuh,BatchNorm,usleep,usleep,4,3,42,done
4,pl0bhoba,svuh,BatchNorm,usleep,usleep,4,4,42,done
5,8ME5wG3D,svuh,BatchNorm,usleep,usleep,8,0,42,done
6,8ME5wG3D,svuh,BatchNorm,usleep,usleep,8,1,42,done
7,8ME5wG3D,svuh,BatchNorm,usleep,usleep,8,2,42,done
8,8ME5wG3D,svuh,BatchNorm,usleep,usleep,8,3,42,done
9,8ME5wG3D,svuh,BatchNorm,usleep,usleep,8,4,42,done
10,NoxQ3sc2,svuh,BatchNorm,usleep,usleep,,0,42,done
11,NoxQ3sc2,svuh,BatchNorm,usleep,usleep,,1,42,done
12,NoxQ3sc2,svuh,BatchNorm,usleep,usleep,,2,42,done
13,NoxQ3sc2,svuh,BatchNorm,usleep,usleep,,3,42,done
14,NoxQ3sc2,svuh,BatchNorm,usleep,usleep,,4,42,done
15,k7UdBKUd,svuh,BitFit,usleep,usleep,4,0,42,done
16,k7UdBKUd,svuh,BitFit,usleep,usleep,4,1,42,done
17,k7UdBKUd,svuh,BitFit,usleep,usleep,4,2,42,done
18,k7UdBKUd,svuh,BitFit,usleep,usleep,4,3,42,done
19,k7UdBKUd,svuh,BitFit,usleep,usleep,4,4,42,done
20,MIlviL7w,svuh,BitFit,usleep,usleep,8,0,42,done
21,MIlviL7w,svuh,BitFit,usleep,usleep,8,1,42,done
22,MIlviL7w,svuh,BitFit,usleep,usleep,8,2,42,done
23,MIlviL7w,svuh,BitFit,usleep,usleep,8,3,42,done
24,MIlviL7w,svuh,BitFit,usleep,usleep,8,4,42,done
25,iZR6qran,svuh,BitFit,usleep,usleep,,0,42,done
26,iZR6qran,svuh,BitFit,usleep,usleep,,1,42,done
27,iZR6qran,svuh,BitFit,usleep,usleep,,2,42,done
28,iZR6qran,svuh,BitFit,usleep,usleep,,3,42,done
29,iZR6qran,svuh,BitFit,usleep,usleep,,4,42,done
30,x6Nwjh54,svuh,Fish10,usleep,usleep,4,0,42,done
31,x6Nwjh54,svuh,Fish10,usleep,usleep,4,1,42,done
